Model,Link,Price
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Black (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-black-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cloud Blue (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cloud-blue-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cosmic Gray (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cosmic-gray-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Aura Red (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-aura-red-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy A71, 128Gb, Prism Crush Black (SM-A715F)",https://shop.kz/offer/smartfon-samsung-galaxy-a71-128gb-prism-crush-black-sm-a715f/,179 900 ₸
"Смартфон Apple iPhone 11 Pro Max, 512Gb, Midnight Green",https://shop.kz/offer/smartfon-apple-iphone-11-pro-max-512gb-midnight-green/,799 900 ₸
"Смартфон OPPO Reno2 Z, 128Gb, Sky White (CPH1951)",https://shop.kz/offer/smartfon-oppo-reno2-z-128gb-sky-white-cph1951/,164 900 ₸
"Смартфон OPPO A9 (2020), 128Gb, Vanilla Mint (CPH1941)",https://shop.kz/offer/smartfon-oppo-a9-2020-128gb-vanilla-mint-cph1941/,126 900 ₸
"Смартфон Samsung Galaxy A01, 16Gb, Black (SM-A015)",https://shop.kz/offer/smartfon-samsung-galaxy-a01-16gb-black-sm-a015/,48 900 ₸
"Смартфон Meizu Note 9, 64Gb, White (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-64gb-white-m923h/,85 900 ₸
"Смартфон Meizu Note 9, 128Gb, Blue (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-128gb-blue-m923h/,85 900 ₸
"Смартфон realme 5 Pro, 4Gb/128Gb, Crystal Green (RMX1971)",https://shop.kz/offer/smartfon-realme-5-pro-4gb-128gb-crystal-green-rmx1971/,96 900 ₸
"Смартфон Samsung Galaxy S20 Ultra 5G, 128Gb, Cosmic Black (SM-G988B)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-ultra-5g-128gb-cosmic-black-sm-g988b/,549 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Gray (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-gray-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cloud Blue (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cloud-blue-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Black (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-black-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cloud Blue (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cloud-blue-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cosmic Gray (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cosmic-gray-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Aura Red (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-aura-red-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy A71, 128Gb, Prism Crush Black (SM-A715F)",https://shop.kz/offer/smartfon-samsung-galaxy-a71-128gb-prism-crush-black-sm-a715f/,179 900 ₸
"Смартфон Apple iPhone 11 Pro Max, 512Gb, Midnight Green",https://shop.kz/offer/smartfon-apple-iphone-11-pro-max-512gb-midnight-green/,799 900 ₸
"Смартфон OPPO Reno2 Z, 128Gb, Sky White (CPH1951)",https://shop.kz/offer/smartfon-oppo-reno2-z-128gb-sky-white-cph1951/,164 900 ₸
"Смартфон OPPO A9 (2020), 128Gb, Vanilla Mint (CPH1941)",https://shop.kz/offer/smartfon-oppo-a9-2020-128gb-vanilla-mint-cph1941/,126 900 ₸
"Смартфон Samsung Galaxy A01, 16Gb, Black (SM-A015)",https://shop.kz/offer/smartfon-samsung-galaxy-a01-16gb-black-sm-a015/,48 900 ₸
"Смартфон Meizu Note 9, 64Gb, White (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-64gb-white-m923h/,85 900 ₸
"Смартфон Meizu Note 9, 128Gb, Blue (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-128gb-blue-m923h/,85 900 ₸
"Смартфон realme 5 Pro, 4Gb/128Gb, Crystal Green (RMX1971)",https://shop.kz/offer/smartfon-realme-5-pro-4gb-128gb-crystal-green-rmx1971/,96 900 ₸
"Смартфон Samsung Galaxy S20 Ultra 5G, 128Gb, Cosmic Black (SM-G988B)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-ultra-5g-128gb-cosmic-black-sm-g988b/,549 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Gray (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-gray-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cloud Blue (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cloud-blue-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Black (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-black-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cloud Blue (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cloud-blue-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cosmic Gray (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cosmic-gray-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Aura Red (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-aura-red-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy A71, 128Gb, Prism Crush Black (SM-A715F)",https://shop.kz/offer/smartfon-samsung-galaxy-a71-128gb-prism-crush-black-sm-a715f/,179 900 ₸
"Смартфон Apple iPhone 11 Pro Max, 512Gb, Midnight Green",https://shop.kz/offer/smartfon-apple-iphone-11-pro-max-512gb-midnight-green/,799 900 ₸
"Смартфон OPPO Reno2 Z, 128Gb, Sky White (CPH1951)",https://shop.kz/offer/smartfon-oppo-reno2-z-128gb-sky-white-cph1951/,164 900 ₸
"Смартфон OPPO A9 (2020), 128Gb, Vanilla Mint (CPH1941)",https://shop.kz/offer/smartfon-oppo-a9-2020-128gb-vanilla-mint-cph1941/,126 900 ₸
"Смартфон Samsung Galaxy A01, 16Gb, Black (SM-A015)",https://shop.kz/offer/smartfon-samsung-galaxy-a01-16gb-black-sm-a015/,48 900 ₸
"Смартфон Meizu Note 9, 64Gb, White (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-64gb-white-m923h/,85 900 ₸
"Смартфон Meizu Note 9, 128Gb, Blue (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-128gb-blue-m923h/,85 900 ₸
"Смартфон realme 5 Pro, 4Gb/128Gb, Crystal Green (RMX1971)",https://shop.kz/offer/smartfon-realme-5-pro-4gb-128gb-crystal-green-rmx1971/,96 900 ₸
"Смартфон Samsung Galaxy S20 Ultra 5G, 128Gb, Cosmic Black (SM-G988B)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-ultra-5g-128gb-cosmic-black-sm-g988b/,549 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Gray (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-gray-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cloud Blue (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cloud-blue-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Black (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-black-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cloud Blue (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cloud-blue-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cosmic Gray (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cosmic-gray-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Aura Red (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-aura-red-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy A71, 128Gb, Prism Crush Black (SM-A715F)",https://shop.kz/offer/smartfon-samsung-galaxy-a71-128gb-prism-crush-black-sm-a715f/,179 900 ₸
"Смартфон Apple iPhone 11 Pro Max, 512Gb, Midnight Green",https://shop.kz/offer/smartfon-apple-iphone-11-pro-max-512gb-midnight-green/,799 900 ₸
"Смартфон OPPO Reno2 Z, 128Gb, Sky White (CPH1951)",https://shop.kz/offer/smartfon-oppo-reno2-z-128gb-sky-white-cph1951/,164 900 ₸
"Смартфон OPPO A9 (2020), 128Gb, Vanilla Mint (CPH1941)",https://shop.kz/offer/smartfon-oppo-a9-2020-128gb-vanilla-mint-cph1941/,126 900 ₸
"Смартфон Samsung Galaxy A01, 16Gb, Black (SM-A015)",https://shop.kz/offer/smartfon-samsung-galaxy-a01-16gb-black-sm-a015/,48 900 ₸
"Смартфон Meizu Note 9, 64Gb, White (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-64gb-white-m923h/,85 900 ₸
"Смартфон Meizu Note 9, 128Gb, Blue (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-128gb-blue-m923h/,85 900 ₸
"Смартфон realme 5 Pro, 4Gb/128Gb, Crystal Green (RMX1971)",https://shop.kz/offer/smartfon-realme-5-pro-4gb-128gb-crystal-green-rmx1971/,96 900 ₸
"Смартфон Samsung Galaxy S20 Ultra 5G, 128Gb, Cosmic Black (SM-G988B)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-ultra-5g-128gb-cosmic-black-sm-g988b/,549 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Gray (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-gray-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cloud Blue (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cloud-blue-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Black (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-black-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cloud Blue (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cloud-blue-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cosmic Gray (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cosmic-gray-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Aura Red (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-aura-red-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy A71, 128Gb, Prism Crush Black (SM-A715F)",https://shop.kz/offer/smartfon-samsung-galaxy-a71-128gb-prism-crush-black-sm-a715f/,179 900 ₸
"Смартфон Apple iPhone 11 Pro Max, 512Gb, Midnight Green",https://shop.kz/offer/smartfon-apple-iphone-11-pro-max-512gb-midnight-green/,799 900 ₸
"Смартфон OPPO Reno2 Z, 128Gb, Sky White (CPH1951)",https://shop.kz/offer/smartfon-oppo-reno2-z-128gb-sky-white-cph1951/,164 900 ₸
"Смартфон OPPO A9 (2020), 128Gb, Vanilla Mint (CPH1941)",https://shop.kz/offer/smartfon-oppo-a9-2020-128gb-vanilla-mint-cph1941/,126 900 ₸
"Смартфон Samsung Galaxy A01, 16Gb, Black (SM-A015)",https://shop.kz/offer/smartfon-samsung-galaxy-a01-16gb-black-sm-a015/,48 900 ₸
"Смартфон Meizu Note 9, 64Gb, White (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-64gb-white-m923h/,85 900 ₸
"Смартфон Meizu Note 9, 128Gb, Blue (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-128gb-blue-m923h/,85 900 ₸
"Смартфон realme 5 Pro, 4Gb/128Gb, Crystal Green (RMX1971)",https://shop.kz/offer/smartfon-realme-5-pro-4gb-128gb-crystal-green-rmx1971/,96 900 ₸
"Смартфон Samsung Galaxy S20 Ultra 5G, 128Gb, Cosmic Black (SM-G988B)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-ultra-5g-128gb-cosmic-black-sm-g988b/,549 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Gray (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-gray-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cloud Blue (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cloud-blue-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Black (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-black-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cloud Blue (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cloud-blue-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cosmic Gray (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cosmic-gray-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Aura Red (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-aura-red-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy A71, 128Gb, Prism Crush Black (SM-A715F)",https://shop.kz/offer/smartfon-samsung-galaxy-a71-128gb-prism-crush-black-sm-a715f/,179 900 ₸
"Смартфон Apple iPhone 11 Pro Max, 512Gb, Midnight Green",https://shop.kz/offer/smartfon-apple-iphone-11-pro-max-512gb-midnight-green/,799 900 ₸
"Смартфон OPPO Reno2 Z, 128Gb, Sky White (CPH1951)",https://shop.kz/offer/smartfon-oppo-reno2-z-128gb-sky-white-cph1951/,164 900 ₸
"Смартфон OPPO A9 (2020), 128Gb, Vanilla Mint (CPH1941)",https://shop.kz/offer/smartfon-oppo-a9-2020-128gb-vanilla-mint-cph1941/,126 900 ₸
"Смартфон Samsung Galaxy A01, 16Gb, Black (SM-A015)",https://shop.kz/offer/smartfon-samsung-galaxy-a01-16gb-black-sm-a015/,48 900 ₸
"Смартфон Meizu Note 9, 64Gb, White (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-64gb-white-m923h/,85 900 ₸
"Смартфон Meizu Note 9, 128Gb, Blue (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-128gb-blue-m923h/,85 900 ₸
"Смартфон realme 5 Pro, 4Gb/128Gb, Crystal Green (RMX1971)",https://shop.kz/offer/smartfon-realme-5-pro-4gb-128gb-crystal-green-rmx1971/,96 900 ₸
"Смартфон Samsung Galaxy S20 Ultra 5G, 128Gb, Cosmic Black (SM-G988B)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-ultra-5g-128gb-cosmic-black-sm-g988b/,549 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Gray (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-gray-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cloud Blue (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cloud-blue-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Black (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-black-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cloud Blue (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cloud-blue-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cosmic Gray (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cosmic-gray-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Aura Red (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-aura-red-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy A71, 128Gb, Prism Crush Black (SM-A715F)",https://shop.kz/offer/smartfon-samsung-galaxy-a71-128gb-prism-crush-black-sm-a715f/,179 900 ₸
"Смартфон Apple iPhone 11 Pro Max, 512Gb, Midnight Green",https://shop.kz/offer/smartfon-apple-iphone-11-pro-max-512gb-midnight-green/,799 900 ₸
"Смартфон OPPO Reno2 Z, 128Gb, Sky White (CPH1951)",https://shop.kz/offer/smartfon-oppo-reno2-z-128gb-sky-white-cph1951/,164 900 ₸
"Смартфон OPPO A9 (2020), 128Gb, Vanilla Mint (CPH1941)",https://shop.kz/offer/smartfon-oppo-a9-2020-128gb-vanilla-mint-cph1941/,126 900 ₸
"Смартфон Samsung Galaxy A01, 16Gb, Black (SM-A015)",https://shop.kz/offer/smartfon-samsung-galaxy-a01-16gb-black-sm-a015/,48 900 ₸
"Смартфон Meizu Note 9, 64Gb, White (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-64gb-white-m923h/,85 900 ₸
"Смартфон Meizu Note 9, 128Gb, Blue (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-128gb-blue-m923h/,85 900 ₸
"Смартфон realme 5 Pro, 4Gb/128Gb, Crystal Green (RMX1971)",https://shop.kz/offer/smartfon-realme-5-pro-4gb-128gb-crystal-green-rmx1971/,96 900 ₸
"Смартфон Samsung Galaxy S20 Ultra 5G, 128Gb, Cosmic Black (SM-G988B)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-ultra-5g-128gb-cosmic-black-sm-g988b/,549 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Gray (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-gray-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cloud Blue (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cloud-blue-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20 Plus, 128Gb, Cosmic Black (SM-G985F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-plus-128gb-cosmic-black-sm-g985f/,449 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cloud Blue (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cloud-blue-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Cosmic Gray (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-cosmic-gray-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy S20, 128Gb, Aura Red (SM-G980F)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-128gb-aura-red-sm-g980f/,399 800 ₸
"Смартфон Samsung Galaxy A71, 128Gb, Prism Crush Black (SM-A715F)",https://shop.kz/offer/smartfon-samsung-galaxy-a71-128gb-prism-crush-black-sm-a715f/,179 900 ₸
"Смартфон Apple iPhone 11 Pro Max, 512Gb, Midnight Green",https://shop.kz/offer/smartfon-apple-iphone-11-pro-max-512gb-midnight-green/,799 900 ₸
"Смартфон OPPO Reno2 Z, 128Gb, Sky White (CPH1951)",https://shop.kz/offer/smartfon-oppo-reno2-z-128gb-sky-white-cph1951/,164 900 ₸
"Смартфон OPPO A9 (2020), 128Gb, Vanilla Mint (CPH1941)",https://shop.kz/offer/smartfon-oppo-a9-2020-128gb-vanilla-mint-cph1941/,126 900 ₸
"Смартфон Samsung Galaxy A01, 16Gb, Black (SM-A015)",https://shop.kz/offer/smartfon-samsung-galaxy-a01-16gb-black-sm-a015/,48 900 ₸
"Смартфон Meizu Note 9, 64Gb, White (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-64gb-white-m923h/,85 900 ₸
"Смартфон Meizu Note 9, 128Gb, Blue (M923H)",https://shop.kz/offer/smartfon-meizu-note-9-128gb-blue-m923h/,85 900 ₸
"Смартфон realme 5 Pro, 4Gb/128Gb, Crystal Green (RMX1971)",https://shop.kz/offer/smartfon-realme-5-pro-4gb-128gb-crystal-green-rmx1971/,96 900 ₸
"Смартфон Samsung Galaxy S20 Ultra 5G, 128Gb, Cosmic Black (SM-G988B)",https://shop.kz/offer/smartfon-samsung-galaxy-s20-ultra-5g-128gb-cosmic-black-sm-g988b/,549 800 ₸
